"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",109.049867475835,1.46562213131927,74.4051724830836,1.76078016239531e-73
"factor(daylength)long",-2.68903904669523,2.07270269542588,-1.2973587831142,0.198381360830732
"factor(daylength)short",1.13279188433331,2.02022069102472,0.560726800475802,0.576611832270079
"factor(temp_range)average",26.8019842169051,2.02022069102472,13.2668595742925,1.38941637896168e-21
"factor(temp_range)below",0.136212130994005,2.02022069102472,0.0674243817020375,0.946418630757694
"factor(daylength)long:factor(temp_range)average",-3.80933699459077,2.89437179782938,-1.31611875068972,0.192038835491369
"factor(daylength)short:factor(temp_range)average",-3.47184893615331,2.81918045852115,-1.2315100034336,0.221880145734639
"factor(daylength)long:factor(temp_range)below",-0.568471745149463,2.85702350023391,-0.198973422900764,0.842807994755247
"factor(daylength)short:factor(temp_range)below",-1.24322902799821,2.85702350023391,-0.435148338085572,0.664672021062107
